1950	69,2	63,4	52,0
1951	68,9	63,1	50,8
1952	70,2	64,4	45,2
1953	70,3	64,3	41,9
1954	71,2	65,0	40,7
1955	71,5	65,2	38,6
1956	71,7	65,2	36,2
1957	72,2	65,5	33,8
1958	73,2	66,8	31,4
1959	73,4	66,8	29,6
1960	73,6	67,0	27,4
1961	74,4	67,5	25,7
1962	73,9	67,0	25,7
1963	73,8	66,8	25,6
1964	74,8	67,7	23,4
1965	74,7	67,5	21,9
1966	75,2	67,8	21,7
1967	75,2	67,8	20,7
1968	75,2	67,8	20,4
1969	75,1	67,4	19,6
1970	75,9	68,4	18,2
1971	75,9	68,3	17,2
1972	76,2	68,5	16,0
1973	76,3	68,7	15,4
1974	76,7	68,9	14,6
1975	76,9	69,0	13,8
1976	77,2	69,2	12,5
1977	77,8	69,7	11,4
1978	77,9	69,8	10,7
1979	78,3	70,1	10,0
1980	78,4	70,2	10,0
1981	78,5	70,4	9,7
1982	78,9	70,7	9,5
1983	78,8	70,7	9,1
1984	79,3	71,2	8,3
1985	79,4	71,3	8,3
1986	79,7	71,5	8,0
1987	80,3	72,0	7,8
1988	80,5	72,3	7,8
1989	80,6	72,5	7,5
1990	81,0	72,7	7,3
1991	81,2	72,9	7,3
1992	81,5	73,2	6,8
1993	81,5	73,3	6,5
1994	81,9	73,7	5,9
1995	81,9	73,9	4,9
1996	82,1	74,1	4,8
1997	82,3	74,6	4,7
1998	82,4	74,8	4,6
1999	82,5	75,0	4,3
2000	82,8	75,3	4,4
2001	82,9	75,5	4,5
2002	83,1	75,8	4,1
2003	83,0	75,9	4,0
2004	83,9	76,7	3,9
2005	83,9	76,8	3,6
2006	84,2	77,2	3,6
2007	84,4	77,4	3,6
2008	84,4	77,6	3,6
2009	84,5	77,8	3,7
2010	84,7	78,0	3,5
2011	85,0	78,4	3,3
2012	84,8	78,5	3,3
2013	85,0	78,8	3,5
2014	85,4	79,3	3,3
2015	85,1	79,0	3,5
2016	85,3	79,3	3,5
2017	85,4	79,5	3,6
2018	85,5	79,6	3,6
2019	85,7	79,8	3,6
